region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1357,0,1597,219,41718,53020,42.54745829000001,8.15060150567476
Tturn,2,0,539,197,779,41658,47718,17.182617187999995,3.2915871159538015
Tturn,3,517,539,757,779,41706,58081,34.713867187999995,6.64996005735097
Tturn,4,2477,259,2683,499,41630,49887,27.508789062999995,5.26971966287524
Tturn,5,1357,539,1597,779,546,58081,0.0,0.0
Tturn,6,1077,1099,1317,1339,0,58081,0.0,0.0
Tturn,7,237,1379,477,1619,0,58081,0.0,0.0
Tturn,8,1917,1379,2157,1619,41799,58081,0.0,0.0
Tturn,9,2197,1379,2437,1619,42055,58081,0.0,0.0
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,251112,499111,121.95273172899999,23.361868341854773
