region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells
Tturn,1,1357,0,1597,219,41695,53020
Tturn,2,0,539,197,779,41663,47718
Tturn,3,517,539,757,779,41892,58081
Tturn,4,2477,259,2703,499,41649,54707
Tturn,5,1357,539,1597,779,41199,58081
Tturn,6,1077,1099,1317,1339,0,58081
Tturn,7,237,1379,477,1619,0,58081
Tturn,8,1917,1379,2157,1619,41728,58081
Tturn,9,2197,1379,2437,1619,41996,58081
Tturn,10,-1,-1,-1,-1,0,0
Tturn,11,-1,-1,-1,-1,0,0
Tturn,12,-1,-1,-1,-1,0,0
Tturn,13,-1,-1,-1,-1,0,0
