region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1485,0,1725,221,41574,53502,78.00726268499999,14.833544665549573
Tturn,2,85,541,325,781,41968,58081,39.893539428999986,7.585993644931785
Tturn,3,645,541,885,781,41789,58081,42.33398437599999,8.050058757321638
Tturn,4,2605,261,2797,501,34897,46513,0.0,0.0
Tturn,5,1485,541,1725,781,41407,58081,12.534179686999991,2.3834487691732615
Tturn,6,1205,1101,1445,1341,0,58081,0.0,0.0
Tturn,7,365,1381,605,1621,0,58081,0.0,0.0
Tturn,8,2045,1381,2285,1621,35032,58081,0.0,0.0
Tturn,9,2325,1381,2565,1621,37855,58081,0.0,0.0
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,274522,506582,172.76896617699995,32.85304583697626
