timestamp_sec,x,y
1.925601243,77.0999984741211,-6.199999809265137
2.075000762,77.0999984741211,-6.199999809265137
2.274199485,77.0999984741211,-6.199999809265137
2.473398208,77.0999984741211,-6.199999809265137
2.622797250,77.0999984741211,-6.199999809265137
2.821995973,77.0999984741211,-6.199999809265137
3.021194696,77.0999984741211,-6.199999809265137
3.170593738,77.0999984741211,-6.199999809265137
3.336592674,77.0999984741211,-6.199999809265137
3.535791397,77.0999984741211,-6.199999809265137
3.685190439,77.0999984741211,-6.199999809265137
3.884389162,77.0999984741211,-6.199999809265137
4.033788681,77.0999984741211,-6.199999809265137
4.183189868,77.0999984741211,-6.199999809265137
4.382391452,77.0999984741211,-6.199999809265137
4.581593036,77.0999984741211,-6.199999809265137
4.730994224,77.0999984741211,-6.199999809265137
4.930195808,77.0999984741211,-6.199999809265137
5.096197128,77.0999984741211,-6.199999809265137
5.295398712,77.0999984741211,-6.199999809265137
5.494600296,77.0999984741211,-6.199999809265137
5.644001483,77.0999984741211,-6.199999809265137
5.793402671,77.0999984741211,-6.199999809265137
6.042404651,77.0999984741211,-6.199999809265137
6.191805839,77.0999984741211,-6.199999809265137
6.391007423,77.0999984741211,-6.199999809265137
6.540408611,77.0999984741211,-6.199999809265137
6.689809799,77.0999984741211,-6.199999809265137
6.905611515,77.0999984741211,-6.199999809265137
7.055012702,77.0999984741211,-6.199999809265137
7.204413890,77.0999984741211,-6.199999809265137
7.403615474,77.0999984741211,-6.199999809265137
7.602817058,77.0999984741211,-6.199999809265137
7.752218246,77.0999984741211,-6.199999809265137
7.901619434,77.0999984741211,-6.199999809265137
8.100817680,77.0999984741211,-6.199999809265137
8.300013542,77.0999984741211,-6.199999809265137
8.466010093,77.0999984741211,-6.199999809265137
8.615406990,77.0999984741211,-6.199999809265137
8.764803886,77.0999984741211,-6.199999809265137
8.963999748,77.0999984741211,-6.199999809265137
9.113396644,77.0999984741211,-6.199999809265137
9.312592506,77.0999984741211,-6.199999809265137
9.461989402,77.0999984741211,-6.199999809265137
9.611386299,77.0999984741211,-6.199999809265137
9.810582160,77.0999984741211,-6.199999809265137
9.976578712,77.0999984741211,-6.199999809265137
10.125975608,77.0999984741211,-6.199999809265137
10.325171470,77.0999984741211,-6.199999809265137
10.474568367,77.0999984741211,-6.199999809265137
10.673764228,77.0999984741211,-6.199999809265137
10.823161125,77.0999984741211,-6.199999809265137
10.972558021,77.0999984741211,-6.199999809265137
11.121954917,77.0999984741211,-6.199999809265137
11.321150779,77.0999984741211,-6.199999809265137
11.470547676,77.0999984741211,-6.199999809265137
11.636544227,77.0999984741211,-6.199999809265137
11.785941123,77.0999984741211,-6.199999809265137
11.985136985,77.0999984741211,-6.199999809265137
12.134533882,77.0999984741211,-6.199999809265137
12.333729743,77.0999984741211,-6.199999809265137
12.483126640,77.0999984741211,-6.199999809265137
12.632523536,77.0999984741211,-6.199999809265137
12.831719398,77.0999984741211,-6.199999809265137
12.981116294,77.0890884399414,-6.205678939819336
13.180312156,76.91126251220703,-6.20929479598999
13.396107673,76.69120025634766,-6.088101863861084
13.595303535,76.53996276855469,-5.879532814025879
13.794499397,76.42989349365234,-5.648565292358398
13.993695259,76.31591796875,-5.421053886413574
14.192891120,76.17852783203125,-5.2054057121276855
14.392086982,76.05194854736328,-5.0513834953308105
14.591282844,76.05194854736328,-5.0513834953308105
14.790478706,76.05194854736328,-5.0513834953308105
15.006274223,76.05194854736328,-5.0513834953308105
15.205470085,76.05194854736328,-5.0513834953308105
15.404665946,76.05194854736328,-5.0513834953308105
15.603861808,76.05194854736328,-5.0513834953308105
15.803057670,76.01813507080078,-5.045379638671875
16.002254486,75.77670288085938,-5.095999240875244
16.151651382,75.63867950439453,-5.212900161743164
16.301048278,75.54737091064453,-5.397876739501953
16.500244140,75.53517150878906,-5.656665325164795
16.616441726,75.54460144042969,-5.786319255828857
16.815637588,75.57254791259766,-6.040650367736816
16.965034484,75.59664154052734,-6.245854377746582
17.114431381,75.60601806640625,-6.427565574645996
17.313627243,75.58253479003906,-6.686134338378906
17.463024139,75.52996826171875,-6.887203693389893
17.612421035,75.46381378173828,-7.055209636688232
17.811616897,75.35061645507812,-7.289247035980225
17.961013793,75.25657653808594,-7.474784851074219
18.160209655,75.14100646972656,-7.707683086395264
18.326206207,75.05207061767578,-7.895708084106445
18.475603103,74.97774505615234,-8.058835983276367
18.674798965,74.87873840332031,-8.296255111694336
18.824195861,74.85413360595703,-8.359116554260254
18.973592758,74.80314636230469,-8.516422271728516
19.172788619,74.78900909423828,-8.761083602905273
19.322185516,74.82648468017578,-8.965514183044434
19.521381378,74.9024887084961,-9.212664604187012
19.670778274,74.95996856689453,-9.385346412658691
19.820175170,75.02033233642578,-9.580095291137695
