Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections,merged_exploration_merged_map,with_human_knowledge
111.04944821,155826.0,40.5023047833499,229989.0,0.0,300186.0,0,0,0,488153.0,497916.06
112.049500582,158445.0,41.8895981960731,241634.0,0.0,312046.0,0,0,0,505910.0,516028.2
113.04860961,161657.0,43.1478918382341,241634.0,0.0,312788.0,0,0,0,510740.0,520954.8
114.050722905,165357.0,44.458330277541,254001.0,0.0,326625.0,0,0,0,526644.0,537176.88
115.05149092,167344.0,45.4953050821527,259425.0,0.0,333030.0,0,0,0,535551.0,546262.02
116.050570186,175922.0,46.7786874718651,259425.0,0.0,336197.0,0,0,0,536826.0,547562.52
117.053217431,182603.0,47.9322393228546,260550.0,0.0,340568.0,0,0,0,537925.0,548683.5
118.052694131,185246.0,49.264640508636,260550.0,0.0,341969.0,0,0,0,540333.0,551139.66
119.050578511,185910.0,50.3518678979842,260606.0,0.0,342413.0,0,0,0,542214.0,553058.28
120.050663885,187030.0,51.6916496036484,260606.0,0.0,342949.0,0,0,0,543047.0,553907.94
121.05250386,188161.0,52.8632717677366,260606.0,0.0,343449.0,0,0,0,543258.0,554123.16
122.04982012,190343.0,54.1127633190618,261217.0,0.0,344659.0,0,0,0,543805.0,554681.1
123.050996303,192329.0,54.743631484525,261217.0,0.0,345114.0,0,0,0,543805.0,554681.1
124.053681081,193663.0,55.8920337808154,262985.0,0.0,347122.0,0,0,0,546068.0,556989.36
125.051744929,196277.0,57.1423404305375,262985.0,0.0,347785.0,0,0,0,546068.0,556989.36
126.051941783,199179.0,58.4326561727287,262985.0,0.0,348539.0,0,0,0,546068.0,556989.36
127.051513058,200920.0,59.6864205898341,264109.0,0.0,350178.0,0,0,0,547521.0,558471.42
128.053458852,204253.0,60.9534259596259,264344.0,0.0,351341.0,0,0,0,547960.0,558919.2
129.052596702,208197.0,61.9896489112189,264520.0,0.0,352886.0,0,0,0,548163.0,559126.26
130.051436971,212418.0,63.0753428312788,264520.0,0.0,354254.0,0,0,0,548171.0,559134.42
131.055041741,217004.0,64.3286156952262,265115.0,0.0,356545.0,0,0,0,548486.0,559455.72
132.054843895,221534.0,65.2980680302436,266542.0,0.0,359723.0,0,0,0,549356.0,560343.12
133.055476383,225039.0,66.4944915208118,266542.0,0.0,360896.0,0,0,0,549388.0,560375.76
134.052492534,227363.0,67.5711948597389,268170.0,0.0,363133.0,0,0,0,550741.0,561755.82
135.05399769,228222.0,68.8381807447431,269675.0,0.0,363356.0,0,0,0,550741.0,561755.82
136.053847844,229940.0,70.0683076001651,269675.0,0.0,365223.0,0,0,0,552053.0,563094.06
