Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections,merged_exploration_merged_map,with_human_knowledge
126.051941783,199179,58.4326561727287,262985,0,348539,0,0,0,546068,556989.36
127.051513058,200920,59.6864205898341,264109,0,350178,0,0,0,547521,558471.42
128.053458852,204253,60.9534259596259,264344,0,351341,0,0,0,547960,558919.2
129.052596702,208197,61.9896489112189,264520,0,352886,0,0,0,548163,559126.26
130.051436971,212418,63.0753428312788,264520,0,354254,0,0,0,548171,559134.42
131.055041741,217004,64.3286156952262,265115,0,356545,0,0,0,548486,559455.72
132.054843895,221534,65.2980680302436,266542,0,359723,0,0,0,549356,560343.12
133.055476383,225039,66.4944915208118,266542,0,360896,0,0,0,549388,560375.76
134.052492534,227363,67.5711948597389,268170,0,363133,0,0,0,550741,561755.82
135.05399769,228222,68.8381807447431,269675,0,363356,0,0,0,550741,561755.82
136.053847844,229940,70.0683076001651,269675,0,365223,0,0,0,552053,563094.06
137.053326911,233207,71.3121655982228,269675,0,365968,0,0,0,552053,563094.06
138.053531365,236998,72.6285728923791,269675,0,366835,0,0,0,552053,563094.06
139.056182961,240677,73.7133519034729,271382,0,369220,0,0,0,553684,564757.68
140.054714478,242335,74.3097703214996,271382,0,369529,0,0,0,553684,564757.68
141.052586507,245626,75.6180436569118,272734,0,370947,0,0,0,554848,565944.96
142.052875166,248854,76.8224361907055,274050,0,372165,0,0,0,556156,567279.12
143.054654124,252431,78.1629185891893,275149,0,372656,0,0,0,557321,568467.42
144.055264484,254610,79.3903311035588,275149,0,373190,0,0,0,557321,568467.42
145.057052124,258387,80.683354070459,280141,0,373951,0,0,0,562596,573847.92
146.055588296,262188,81.6656939435614,285423,0,375004,0,0,0,562596,573847.92
147.055774525,265774,82.9498440294245,285423,0,375258,0,0,0,567692,579045.84
148.057140082,269532,84.1598618307339,288606,0,376665,0,0,0,570812,582228.24
149.055819588,271245,85.4498332566536,288606,0,376876,0,0,0,570812,582228.24
150.060169336,274734,86.4581201542402,292023,0,377943,0,0,0,574077,585558.54
151.056780764,278455,87.5895125233271,292023,0,378448,0,0,0,574077,585558.54
152.063011099,281512,88.9740028511965,292023,0,378635,0,0,0,574077,585558.54
153.058714119,285528,90.2738191979433,292023,0,379657,0,0,0,574077,585558.54
154.057941072,288902,91.2393399073192,292023,0,380030,0,0,0,574077,585558.54
155.062448358,291025,92.5393307616314,297699,0,381050,0,0,0,579724,591318.48
156.060488663,293169,93.8009784867071,297699,0,381679,0,0,0,579724,591318.48
157.059971919,297795,95.0679283324419,300587,0,382954,0,0,0,579724,591318.48
158.060075901,301963,95.9546082788726,304058,0,384431,0,0,0,584349,596035.98
159.060152846,303503,97.237897565105,304058,0,384770,0,0,0,586694,598427.88
160.060431531,307380,98.5924120137594,304582,0,386000,0,0,0,587123,598865.46
161.061123281,311633,99.8402214054799,304582,0,386451,0,0,0,587123,598865.46
162.062715846,315787,100.816417997211,305168,0,386899,0,0,0,587977,599736.54
163.065716101,319902,102.072544979272,307316,0,387446,0,0,0,590520,602330.4
164.064592241,321892,103.381739080116,307316,0,387458,0,0,0,590520,602330.4
165.068036219,326716,104.655610084519,308518,0,387442,0,0,0,591581,603412.62
166.065096378,332234,105.601000803976,308518,0,387510,0,0,0,591582,603413.64
167.070435494,336131,106.845794674668,308518,0,388683,0,0,0,591635,603467.7
168.066288748,341423,108.096777865646,309585,0,389790,0,0,0,592832,604688.64
169.066424924,345063,109.486149322017,309585,0,390069,0,0,0,592832,604688.64
170.067920265,346313,110.279006457238,312518,0,390826,0,0,0,594153,606036.06
171.066962453,347643,111.468894734981,312518,0,390919,0,0,0,594115,605997.3
172.071466923,350312,112.676235387295,318429,0,392482,0,0,0,594716,606610.32
173.070403334,353324,113.932601805615,326098,0,394449,0,0,0,594581,606472.62
174.07147236,356027,115.230457485758,326098,0,394467,0,0,0,594581,606472.62
175.071139543,358758,116.507486536386,338501,0,400093,0,0,0,594658,606551.16
176.073967055,361615,117.495385921935,347765,0,400124,0,0,0,594681,606574.62
177.07229728,363356,118.725689940464,347765,0,407512,0,0,0,594787,606682.74
178.073356105,366399,119.944151002003,352464,0,413362,0,0,0,595200,607104
179.074317776,369247,121.023841567476,352464,0,415707,0,0,0,596052,607973.04
180.073005756,371179,122.26541689398,359212,0,424325,0,0,0,597983,609942.66
181.074369784,371616,123.451401016557,359212,0,424762,0,0,0,600808,612824.16
182.076393658,371653,123.551121456268,367932,0,433519,0,0,0,603527,615597.54
183.073396762,371660,124.64878783624,367932,0,433526,0,0,0,604415,616503.3
184.074954331,371665,125.911378344519,374810,0,440409,0,0,0,605672,617785.44
185.076623784,371681,127.124599797473,374810,0,440425,0,0,0,606105,618227.1
186.073905958,371685,128.466922505323,382541,0,448160,0,0,0,606313,618439.26
187.076512897,371685,129.723069446953,382541,0,448160,0,0,0,606346,618472.92
188.077245675,371685,131.014616356193,394825,0,460444,0,0,0,606847,618983.94
189.07539019,371685,132.346080568371,409251,0,474870,0,0,0,607044,619184.88
190.078250892,372182,133.612862440319,409251,0,474892,0,0,0,607072,619213.44
191.079833369,372248,134.847362557747,415034,0,480686,0,0,0,607171,619314.42
192.076435622,372299,136.226604193939,415034,0,480686,0,0,0,607219,619363.38
193.076745861,372347,137.35950097738,418955,0,484607,0,0,0,607277,619422.54
194.075625489,372382,138.521220078664,418955,0,484607,0,0,0,607277,619422.54
195.078671259,372661,139.910101390157,427481,0,493134,0,0,0,607372,619519.44
196.075023357,372697,141.350880566026,427481,0,493134,0,0,0,607374,619521.48
197.075734648,372756,142.621678545221,436951,0,502604,0,0,0,607510,619660.2
198.079949517,372805,143.835142091118,436951,0,502604,0,0,0,607512,619662.24
199.077180367,372833,145.074728435157,440612,0,506423,0,0,0,607903,620061.06
200.076667199,372889,146.393551552699,448197,0,514019,0,0,0,607923,620081.46
201.0784014,372950,147.662655836521,448197,0,514019,0,0,0,607923,620081.46
202.079454387,373017,148.974808910099,455282,0,520968,0,0,0,607960,620119.2
203.084661358,373079,150.270679995569,455282,0,520968,0,0,0,607960,620119.2
204.079909359,373145,151.514541408111,461022,0,526580,0,0,0,607968,620127.36
205.079775907,373224,152.832282012063,474582,0,526580,0,0,0,607968,620127.36
206.080795064,373683,154.137726101913,474582,0,540360,0,0,0,608002,620162.04
207.081010867,373782,155.419909442953,485310,0,551088,0,0,0,608039,620199.78
208.082413045,373877,156.641899648009,485310,0,551088,0,0,0,,
209.080583707,373925,157.981615387229,485310,0,551088,0,0,0,,
210.087610097,374038,159.230953600919,485310,0,551088,0,0,0,,
211.082787632,374131,160.58704353671,485310,0,551092,0,0,0,,
212.079712184,374237,161.792585736381,485310,0,551117,0,0,0,,
213.082073466,374350,163.03646905947,485310,0,551196,0,0,0,,
214.081119128,374455,164.237955089185,485310,0,551291,0,0,0,,
215.081038859,374877,165.59525050711,485310,0,551555,0,0,0,,
216.082416401,374941,166.840325168327,485310,0,551619,0,0,0,,
217.081007147,375063,168.114072975542,485310,0,551741,0,0,0,,
