Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections,tb uncoordinated traj
56.010092053,70591.0,3.520100375692,5878.0,0.1414178506333296,73209.0,0.0,0.0,0.0,3.520100375692
57.011075991,70592.0,3.520100375692,5878.0,0.1419545312255956,73209.0,0.0,0.0,0.0,3.520100375692
58.010311041,70593.0,3.520100375692,5878.0,0.2580578796123619,73209.0,0.0,0.0,0.0,3.520100375692
59.010173703,70594.0,3.520100375692,5878.0,1.3229974937005071,73209.0,0.0,0.0,0.0,3.520100375692
60.010385173,70595.0,3.520100375692,5878.0,3.0805033711839407,73209.0,0.0,0.0,0.0,3.520100375692
61.011446045,78753.0,3.520100375692,21973.0,3.8263894080094127,89072.0,0.0,0.0,0.0,3.520100375692
62.011731661,87010.0,3.672010265261,21973.0,4.8259924545557045,89072.0,0.0,0.0,0.0,3.520100375692
63.01277332,95001.0,4.917647832436,21973.0,6.006976895591242,99830.0,0.0,0.0,0.0,3.520100375692
64.012689499,102836.0,6.231718226437,21973.0,6.273080206405417,106865.0,0.0,0.0,0.0,3.520100375692
65.013725108,110370.0,7.461743109389,21973.0,6.273080206405417,111497.0,0.0,0.0,0.0,3.520100375692
66.014895913,116038.0,8.803866262363,33904.0,8.129162703711808,125400.0,0.0,0.0,0.0,3.520100375692
67.015225079,121762.0,10.061796102797,33904.0,9.19881924662984,128875.0,0.0,0.0,0.0,3.520100375692
68.018396988,130910.0,11.357505051637,52143.0,16.58619827200782,151030.0,0.0,0.0,0.0,3.520100375692
69.02153059,137907.0,12.016091054988,65910.0,18.30274468074787,166875.0,0.0,0.0,0.0,3.521631880387
70.018663534,145105.0,13.32731415362,65910.0,20.43782630897738,170217.0,0.0,0.0,0.0,3.68063588173
71.020055447,147594.0,13.559029456291,70674.0,22.922829204607268,176068.0,0.0,0.0,0.0,4.927217862102
72.021803481,151328.0,14.613481968381,77866.0,24.45556082665948,183260.0,0.0,0.0,0.0,6.242917053474
73.020971913,155076.0,14.999799613507,77866.0,26.5820504333492,184213.0,0.0,0.0,0.0,7.471457840109
74.026339044,161508.0,16.297121583588,90690.0,28.686120967938187,198367.0,0.0,0.0,0.0,8.818256181644
75.023711644,167980.0,17.554615071531,90690.0,30.782602986589552,198532.0,0.0,0.0,0.0,10.072757452608
76.025091144,171645.0,18.839483679118,98185.0,31.48440374517951,206131.0,0.0,0.0,0.0,11.361899957198
77.02627265,175267.0,20.074473493208,98185.0,33.921816440372915,206378.0,0.0,0.0,0.0,12.022326831917
78.025616658,178805.0,21.314580562277,98185.0,34.62066595113874,206671.0,0.0,0.0,0.0,13.328923059395
