region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1357,0,1597,216,41689,52297,54.88145983299999,10.75693939792483
Tturn,2,0,536,197,776,41884,47718,0.0,0.0
Tturn,3,517,536,757,776,41957,58081,29.916015625,5.863633512751376
Tturn,4,2477,256,2693,496,41830,52297,0.0,0.0
Tturn,5,1357,536,1597,776,41610,58081,28.471679687000005,5.580539108874592
Tturn,6,1077,1096,1317,1336,41287,58081,13.38082885700004,2.622684701659569
Tturn,7,237,1376,477,1616,0,58081,0.0,0.0
Tturn,8,1917,1376,2157,1616,40830,58081,0.0,0.0
Tturn,9,2197,1376,2437,1616,42249,58081,0.0,0.0
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,333336,500798,126.64998400200002,24.823796721210364
