Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration
50.171945595,63909,13.066749646944139,338283,107.94694751865063,399420
51.178534568,63909,13.068769583649846,338354,110.397602690004,396528
52.186172478,63909,13.068795284613147,338413,112.962757182737,399131
53.191709172,63909,13.068814443600937,335421,115.40444425300484,400303
54.164214659,63909,13.068879504154909,338403,117.95363719911963,401209
55.178633867,63909,13.069900549342089,339613,120.39737980216216,398541
56.189684141,63909,13.074925211557701,340001,122.96421732151343,401395
57.205171958,63909,13.077356823107026,340991,125.55846572105594,402717
58.202484423,63909,13.077399863579439,341042,128.1752032215284,403718
59.181005506,63909,13.07741056337083,341042,130.66674081306175,403810
60.181213071,63909,13.486432990329375,341102,133.2264377002306,403875
61.186501226,64307,14.04647578446235,340577,135.6705058802997,404299
62.222353683,65683,14.639394316595764,340793,138.2276874178833,403744
63.161545724,66095,15.180900774793518,341129,140.64724293864526,404476
64.227976957,66553,15.708397354022072,343083,143.20484786505887,405701
65.205367207,68249,16.30777281109752,343111,145.61138902064258,408164
66.154571559,69190,16.81141808460108,343284,148.10276341264876,408741
67.188271157,69868,17.10570753291543,343346,150.59447359479853,408553
68.211970625,70980,17.482681136198043,343613,152.96312225287454,409448
69.182274762,71910,18.088033035942072,343844,155.37444906311012,411425
70.20333315,72835,18.658351555906798,344228,157.94481564528928,411773
71.175643664,73823,19.212998610169024,345298,160.64211348611002,412602
72.173324102,74989,19.81850792422201,345298,163.13786316491803,413388
73.211954788,77656,20.400363951758422,352143,165.62881585632576,414627
74.228828991,78863,20.93046249473749,356442,168.2641703161921,416480
75.186792661,80062,21.511385383310593,363603,170.9144445494857,419675
76.262830704,81183,21.967511423216877,374380,173.4147038742929,422366
77.218206729,82164,22.218445113133637,384151,175.9084283180506,424687
78.212994388,83089,22.83177760300688,391165,178.50661239562461,426661
79.27875021,84083,23.46931200497501,395423,180.96228429333675,427941
80.175611333,85180,23.8809927940682,403769,183.5224229623224,429408
81.220775746,85180,24.130921134422398,410017,185.95694434199052,430970
82.212836686,86447,24.703863793712852,419861,188.53511908327306,432229
83.210731034,91707,25.290145755075603,431185,190.9628122352128,433393
84.256386355,99139,25.874726545336298,436587,193.51961895083178,435364
85.255151217,101736,26.33959996946461,438771,195.9391055536231,438525
86.203798322,103978,26.700657209497475,449558,197.914918737594,443695
87.198477004,105900,26.96923549864451,456793,198.72909719742768,445530
88.206620783,107472,27.551539529676877,456793,201.3248281642245,452621
89.241481399,108915,28.10813034243162,470110,203.77441412950276,459620
90.18946703,110089,28.654098083928954,477707,206.37051750124868,467838
91.228763066,113136,29.279333659404276,482645,208.79399501868411,473612
92.208821058,114653,29.800215824499578,491884,211.38334070325263,481269
93.205711535,115944,30.32271323582351,504403,213.79175836739827,486768
94.209974929,118542,30.919362853520845,518570,216.33607364703306,491133
95.223471991,119854,31.213276406826616,524878,218.75785070329678,503126
96.182076444,119854,31.243129458745205,530627,221.26533534557583,523815
97.253849982,121644,31.772625390846432,534099,223.63021211917072,532082
