region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1365,0,1605,222,41842,53743,25.895609855,5.129702685295853
Tturn,2,0,542,205,782,0,49646,0.0,0.0
Tturn,3,525,542,765,782,0,58081,0.0,0.0
Tturn,4,2485,262,2687,502,41371,48923,0.0,0.0
Tturn,5,1365,542,1605,782,41751,58081,15.074214933999997,2.9860752945633466
Tturn,6,1085,1102,1325,1342,41600,58081,9.89453125,1.960023486879519
Tturn,7,245,1382,485,1622,41642,58081,13.231445312000005,2.6210381191005805
Tturn,8,1925,1382,2165,1622,2975,58081,0.0,0.0
Tturn,9,2205,1382,2445,1622,35598,58081,0.0,0.0
Tturn,10,1085,2222,1325,2462,0,58081,0.0,0.0
Tturn,11,1645,2222,1885,2462,0,58081,0.0,0.0
Tturn,12,245,2502,485,2696,41335,46995,9.5625,1.8942508866486625
Tturn,13,1645,2502,1885,2696,0,46995,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,288114,710950,73.658301351,14.591090472487961
