region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1353,0,1593,196,41459,47477,52.839453696999996,10.405796456046906
Tturn,2,0,516,193,756,0,46754,0.0,0.0
Tturn,3,513,516,753,756,0,58081,0.0,0.0
Tturn,4,2473,236,2664,476,0,46272,0.0,0.0
Tturn,5,1353,516,1593,756,41255,58081,21.283203125,4.191350669926126
Tturn,6,1073,1076,1313,1316,41505,58081,138.55662536699998,27.286278345599285
Tturn,7,233,1356,473,1596,41782,58081,35.809570312000005,7.052061930502668
Tturn,8,1913,1356,2153,1596,0,58081,0.0,0.0
Tturn,9,2193,1356,2433,1596,0,58081,0.0,0.0
Tturn,10,1073,2196,1313,2436,40348,58081,0.0,0.0
Tturn,11,1633,2196,1873,2436,39057,58081,0.0,0.0
Tturn,12,233,2476,473,2670,41651,46995,22.64453125,4.459440182355098
Tturn,13,1633,2476,1873,2670,39174,46995,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,326231,699141,271.133383751,53.394927584430086
