Time Elapsed (s),Explored Cells,Trajectory Length (m)
3.014414355,67295,0.15417455324147786
4.015411703,67295,0.560793492123364
5.008798615,67295,0.5655113510193356
6.01478061,67295,1.106811598568934
7.016896484,67295,1.1321218918728444
8.01737587,72239,1.2766354009467942
9.010009799,72239,1.721832090403475
10.010254964,72239,1.8602179325192554
11.014463732,72239,2.28346833289431
12.012273361,72239,2.866276284310495
13.009909971,76891,3.274372247892384
14.010366761,76891,3.274372247892384
15.012822129,76891,4.067199581444386
16.017146108,76891,4.148334286390602
17.018421068,76891,4.633790912191813
18.011687638,79683,4.633790912191813
19.017736915,79683,4.633790912191813
20.009714238,79683,4.633790912191813
21.009514364,79683,5.131265632920786
22.017384319,79683,5.218390663350026
23.011997726,84432,5.532531702858246
24.01186675,84432,5.819260966842014
25.014215077,84432,6.021518022775784
26.010425189,84432,6.021518022775784
27.013028149,84432,6.143443795835316
28.010375955,88878,6.154817378619421
29.012617374,88878,6.1743926962145785
30.010659029,88878,6.1743926962145785
31.013386451,88878,6.3688572120522915
32.009955599,88878,6.835771101692393
33.018863437,91523,6.995875092858683
34.014750757,91523,6.995875092858683
35.015008596,91523,7.790434704990589
36.010633722,91523,8.195653893067467
37.011203702,91523,8.677242618618044
38.011573898,93524,9.08887349184384
39.013886781,93524,9.531103590887186
40.01316588,93524,9.531103590887186
41.019310015,93524,10.24419533700347
42.016964452,93524,10.383382216680452
43.013625365,95007,10.503973142104918
44.013856787,95007,10.504936413341534
45.01310692,95007,10.5978656774934
46.015413518,95007,10.902485510623409
47.013292838,95007,11.225500131820544
48.01168736,97050,11.529330538783665
49.012786176,97050,11.529330538783665
50.013152178,97050,12.036990367227961
51.016854485,97050,12.514277144945074
52.012576156,97050,12.910408964067756
53.012814356,99397,13.518684481741944
54.014168569,99397,13.518684481741944
55.016387574,99397,13.518684481741944
56.015243856,99397,14.53668704561217
57.011542357,99397,14.728507940902356
58.01610736,101559,14.777612592746387
59.013595606,101559,14.78172122826483
60.012225281,101559,14.78172122826483
61.011918027,101559,15.164854312815251
62.021652908,101559,15.717130308286283
63.016059878,104742,16.01636458286869
64.015719233,104742,16.01636458286869
65.012779594,104742,16.53728018829083
66.014858309,104742,16.858843026242127
67.016418779,104742,16.962868562013302
68.012460227,105570,16.96816844417458
69.021764097,105570,17.098775491915365
70.013534785,105570,17.098775491915365
71.014240488,105570,17.098775491915365
72.013851688,105570,17.89173619503446
73.018983475,110447,18.148059694769
74.015720967,110447,18.384054030222963
75.015454346,110447,18.384054030222963
76.01704827,110447,19.389647861849383
77.017991624,110447,19.760293990203817
78.016426634,113945,20.0608136423346
79.016174014,113945,20.0608136423346
80.017972321,113945,20.40645905125628
81.025954039,113945,20.537293809248084
82.017224175,113945,20.541575611330774
83.014995762,116913,20.541575611330774
84.027222474,116913,20.541575611330774
85.023207687,116913,20.541575611330774
86.020079436,116913,20.541575611330774
87.015243197,116913,20.541575611330774
88.016106701,123496,20.541575611330774
89.016012634,123496,20.541575611330774
90.028377631,123496,20.541575611330774
91.027968898,123496,22.93881003626478
92.016806838,123496,22.93881003626478
93.020728604,128755,22.93881003626478
94.019490486,128755,22.93881003626478
95.017214899,128755,22.93881003626478
96.017132086,128755,22.93881003626478
97.019706678,128755,23.527793091602465
98.019851637,136930,24.05688297361971
99.019907282,136930,24.05688297361971
100.018786201,136930,24.05688297361971
101.017996079,136930,25.08788299615665
102.03219303,136930,25.08788299615665
103.020635138,140532,25.322513097629262
104.017806531,140532,25.32641765211876
105.020667301,140532,25.32641765211876
106.021117831,140532,25.705065543797
107.018678104,140532,26.048406440885575
108.019008091,147634,26.048406440885575
109.031065997,147634,26.048406440885575
110.019940696,147634,27.115202832442908
111.018201196,147634,27.115202832442908
112.018154747,147634,27.625219435472257
113.02137703,151190,27.737484345176544
114.019077508,151190,27.737877399011936
115.018435964,151190,27.75514962190886
116.032502372,151190,27.75514962190886
117.019870861,151190,27.75514962190886
118.019306527,160099,28.343397615966307
119.019829123,160099,28.343397615966307
120.019049442,160099,28.343397615966307
121.020154356,160099,28.95618542754223
122.023298545,160099,29.111466284121075
123.020631211,165641,29.111466284121075
124.033897093,165641,29.111466284121075
125.019568078,165641,29.293707093725956
126.019784371,165641,29.293707093725956
127.020076773,165641,29.293707093725956
128.019196293,170727,29.293707093725956
129.018629184,170727,30.59771451673124
130.033410763,170727,30.66623161949999
131.018332324,170727,31.022751336607488
132.020586463,170727,31.084861168679012
133.02187207,172387,31.099650181882236
134.02308151,172387,31.216319270949185
135.020425675,172387,31.216319270949185
136.022569905,172387,31.673743446062062
137.022136756,172387,31.673743446062062
138.021261724,175798,32.52666493659171
139.019667704,175798,32.656234962042596
140.019966756,175798,32.656234962042596
141.024430573,175798,32.656234962042596
142.020334299,175798,32.92939995032783
143.020755883,177950,33.31410096887058
144.020351143,177950,33.63125517224221
145.02419293,177950,33.989845918411085
146.024411721,177950,34.34647939286512
147.033491809,177950,34.522093393897244
148.02207741,179446,34.59329460787564
149.022231734,179446,34.60219828388139
150.020024617,179446,34.60219828388139
151.017509761,179446,34.95117301776625
152.021572175,179446,34.95117301776625
153.020622049,181793,34.95117301776625
154.021235284,181793,34.95117301776625
155.019438462,181793,34.95117301776625
156.019599304,181793,34.95117301776625
157.020609087,181793,37.10030782248258
158.023451256,183051,37.23199445969946
159.021353785,183051,37.23403149821679
160.021868515,183051,37.26327447509836
161.024889614,183051,37.53478765768414
162.018940119,183051,37.76299136320135
163.021150201,184867,38.2455757681146
164.022555782,184867,38.671909832154704
165.022575856,184867,38.671909832154704
166.035047006,184867,39.1447143219086
167.020936345,184867,39.25349465930214
168.023642188,188362,39.25349465930214
169.022559497,188362,39.25349465930214
170.02252296,188362,39.25349465930214
171.023528407,188362,39.25349465930214
172.029298039,188362,39.25349465930214
173.02429336,193036,39.25349465930214
174.0206938,193036,39.25349465930214
175.019668967,193036,39.25349465930214
176.03659485,193036,39.25349465930214
177.022625103,193036,39.25349465930214
178.026262195,195518,42.68466028666735
179.037459914,195518,42.68466028666735
180.026194418,195518,42.68466028666735
181.026597151,195518,43.08598385477499
182.026071029,195518,43.08598385477499
183.023379801,198280,43.82409329390093
184.026335634,198280,44.003130231916664
185.036330465,198280,44.10608631098997
186.022825377,198280,44.10608631098997
187.021026201,198280,44.10608631098997
188.022418845,201676,44.74989680484468
189.025260488,201676,44.74989680484468
190.020808791,201676,44.74989680484468
191.026464802,201676,44.74989680484468
192.037454204,201676,46.22050652817518
193.022738929,204379,46.29911984461875
194.02199758,204379,46.7990550203299
195.037376226,204379,46.7990550203299
196.022735875,204379,46.7990550203299
197.024743121,204379,47.43293779568784
198.027887323,206497,47.43293779568784
199.020482241,206497,47.439668326636415
200.026069266,206497,47.439668326636415
201.025734824,206497,48.07631972075809
202.023185415,206497,48.3489267461842
203.022195836,208915,48.81919365387538
204.022737758,208915,48.977072513708194
205.022388259,208915,49.55516709181652
206.021977234,208915,49.79951051141097
207.025070559,208915,50.120744433705504
208.037626258,210704,50.120744433705504
209.037069899,210704,50.120744433705504
210.022774837,210704,50.120744433705504
211.025145474,210704,51.70699451350444
212.022166383,210704,51.70699451350444
213.023735876,212384,51.70699451350444
214.021174818,212384,53.15275086353234
215.021763416,212384,53.54095173113774
216.024833721,212384,53.54095173113774
217.023504557,212384,54.299519604504965
218.027298873,214377,54.299519604504965
219.028097536,214377,55.04475113245805
220.025916937,214377,55.04475113245805
221.023656307,214377,55.86671548123737
222.025005694,214377,55.86671548123737
223.037599726,215883,55.86671548123737
224.038984306,215883,55.86671548123737
225.023333722,215883,55.86671548123737
226.037759676,215883,57.4366163965489
227.020880735,215883,57.84891049030178
228.04076997,217353,57.84891049030178
229.027967747,217353,58.391913756096386
230.026090845,217353,58.391913756096386
231.029798988,217353,58.391913756096386
232.024278816,217353,58.391913756096386
233.029716773,218251,59.054216416980765
234.030235465,218251,59.06933101935826
235.041663702,218251,59.06933101935826
236.032492621,218251,59.06933101935826
237.03144313,218251,60.00929785557482
238.026473289,219295,60.00929785557482
239.027845394,219295,61.081314901767286
240.028465439,219295,61.081314901767286
241.027687557,219295,61.750000589747486
242.028459138,219295,62.14518836853483
243.029252262,221755,62.26169732992907
244.039986875,221755,62.26169732992907
245.041495895,221755,62.26169732992907
246.027225541,221755,62.936514117174
247.026426218,221755,62.94306978402585
248.029666626,223512,63.100029517568075
249.027338887,223512,63.100029517568075
250.034452157,223512,63.100029517568075
251.041268713,223512,64.2299888500672
252.02716886,223512,64.2299888500672
253.027611144,227016,64.2299888500672
254.029736591,227016,64.2299888500672
255.029764083,227016,64.2299888500672
256.025856827,227016,65.45683272748542
257.02718487,227016,65.45683272748542
258.027927859,230577,66.37108182126255
259.043661024,230577,66.37108182126255
260.028640172,230577,66.37108182126255
261.028363661,230577,66.37108182126255
262.032862514,230577,66.37108182126255
263.031980251,234378,66.37108182126255
264.036321391,234378,66.37108182126255
265.028958246,234378,66.37108182126255
266.028016254,234378,66.37108182126255
267.046666489,234378,68.8996685056438
268.029487501,237711,69.26817605538977
269.026723621,237711,69.38834125441045
270.029709554,237711,69.61987784243789
271.029996239,237711,70.04272128801595
272.030193366,237711,70.36281601878946
273.044543571,242115,70.36281601878946
274.044157424,242115,70.90101742726677
275.0279927,242115,71.48684909995735
276.028456761,242115,71.48684909995735
277.02992319,242115,71.48684909995735
278.028093242,245204,71.48684909995735
279.030759064,245204,73.02622153852192
280.03308095,245204,73.14778487892785
281.029196779,245204,73.14778487892785
282.027869897,245204,74.04484316545188
283.026626417,247841,74.37538800399963
284.029808597,247841,74.8486103745927
285.046793896,247841,74.8486103745927
286.029209362,247841,74.8486103745927
287.034335448,247841,76.25793290618742
288.037412979,249894,76.25793290618742
289.047194348,249894,76.82993263260961
290.046610102,249894,76.82993263260961
291.034514089,249894,76.95478324313522
292.029396798,249894,76.9569601755919
293.031202849,253071,76.9569601755919
294.029899765,253071,76.9569601755919
295.028798793,253071,76.9569601755919
296.030495698,253071,76.9569601755919
297.027663962,253071,76.9569601755919
298.030628323,257134,76.9569601755919
299.031621268,257134,76.9569601755919
300.026818472,257134,77.69814651246658
301.028163918,257134,77.69814651246658
302.0496667,257134,77.69814651246658
303.030037787,259602,77.69814651246658
304.028096372,259602,77.69814651246658
305.033021145,259602,79.01370796798044
306.02917984,259602,79.01370796798044
307.030694598,259602,79.01370796798044
308.030499153,261340,79.01370796798044
309.02832796,261340,79.53619515848372
310.02838361,261340,79.56645973704578
311.032530594,261340,79.72620928735346
312.031754403,261340,80.02520296471003
313.033267015,264573,80.14561909558707
314.032160142,264573,80.14561909558707
315.029967939,264573,80.14561909558707
316.031883025,264573,80.52074756150296
317.03093809,264573,80.54929758639112
318.030328304,266807,80.72847070100364
319.030256406,266807,81.09448550916206
320.05067246,266807,81.32262104416861
321.034565664,266807,81.77387405735539
322.03160483,266807,82.23072104770284
323.034684064,269225,82.63520593831059
324.033968788,269225,82.63520593831059
325.034922997,269225,83.07031309361024
326.029602842,269225,83.07031309361024
327.034461567,269225,83.81872120666335
328.028842422,270867,83.81872120666335
329.031230106,270867,83.86948975086676
330.029755468,270867,83.86948975086676
331.033120472,270867,84.1495282150472
332.030333519,270867,84.1495282150472
333.031081215,272281,84.1495282150472
334.028074574,272281,84.1495282150472
335.035408149,272281,84.1495282150472
336.029256235,272281,84.1495282150472
337.029227101,272281,86.219376600472
338.051846383,274643,86.91136521095818
339.032647626,274643,86.91136521095818
340.032677779,274643,86.91136521095818
341.030492026,274643,88.01387904224266
342.029469403,274643,88.29901146917358
343.0357499,275650,88.29901146917358
344.034825085,275650,88.42118379298964
345.036993798,275650,88.42636348608744
346.054975835,275650,88.51555535482386
347.040262477,275650,88.78570971232087
348.034368075,278859,89.2192111156628
349.036920271,278859,89.62616941814505
350.054690021,278859,89.62616941814505
351.033413161,278859,89.62616941814505
352.039116383,278859,90.7005540413658
353.030894192,281488,90.7005540413658
354.054336223,281488,90.7005540413658
355.038645177,281488,92.13749869527618
356.036350257,281488,92.45264315991567
357.031523693,281488,92.45264315991567
358.032375832,284475,93.0994031906781
359.034278408,284475,93.75630998948589
360.034668928,284475,94.12811710171712
361.035567226,284475,94.37452685667284
362.030782075,284475,94.86412532408082
363.0376923,286552,95.27002478365465
364.030888293,286552,95.5183117276395
365.035252643,286552,95.5183117276395
366.033351033,286552,96.25457155373718
367.0376607,286552,96.25457155373718
368.033806292,289486,97.18777924883416
369.036831842,289486,97.49334002455161
370.037089011,289486,97.49334002455161
371.039336518,289486,97.49334002455161
372.040685875,289486,98.83469443996536
373.051431467,294434,98.83469443996536
374.034823786,294434,99.44126906693607
375.037269362,294434,99.44126906693607
376.033835614,294434,99.66656799619767
377.037621074,294434,99.66948134209163
378.033194652,295349,99.67423254321965
379.036993593,295349,99.73486177130624
380.042789551,295349,99.73486177130624
381.056577581,295349,99.73486177130624
382.039663904,295349,99.76550144592466
383.05826092,295510,99.76550144592466
384.036010009,295510,99.76550144592466
385.037446577,295510,99.76550144592466
386.039798914,295510,99.76550144592466
387.041677563,295510,99.76550144592466
