Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration
3.906288778,354,4.291534423828125e-06,1040,0.0,1394
4.915362183,354,0.03934024658694616,1040,0.0,1394
5.908443686,354,0.3016291364297351,1040,0.0,1394
6.907605587,354,0.40543010157752407,1040,0.0,1394
7.907075705,354,0.4160752008795129,1040,0.0,1394
8.907263299,9564,0.5730566526202042,1040,0.0,1394
9.911492433,9564,0.7062462656030903,1040,0.0,1394
10.908560997,9564,0.7357664927351394,1040,0.0,10575
11.91468991,9564,0.7538039827304229,1040,0.0,10575
12.904454604,9564,0.8020707437472584,1040,0.0,10575
13.919719944,39405,1.0848468081513603,1040,0.0,10575
14.919804854,39405,1.4341513439537974,1040,0.0,10575
15.914020606,39405,1.7318791242812301,1040,0.0,40007
16.924297936,39405,1.9231453026195557,1040,0.0,40007
17.911253481,39405,2.063051292278887,4088,0.8961381912231445,40007
18.917059815,52434,2.080317512101634,18626,3.3793344497680664,40007
19.911483037,52434,2.217206685395462,28589,5.840491333273885,40007
20.914498577,52434,2.540016411983701,34067,8.363696899226081,47874
21.910520652,52434,2.821660165516268,40688,10.93032643886828,59522
22.915377818,52434,2.9533635146216732,63299,13.323214441035418,76539
23.920706527,63553,3.0246756751452417,73083,15.726494977530386,81247
24.933272322,63553,3.0341294383385966,77486,18.278316437287092,92052
25.932533182,63553,3.069173799421131,79990,21.050548323164822,112298
26.925640107,63553,3.097390505294139,81984,21.813121516674162,119760
27.948134193,63553,3.6601587708459413,81984,21.845805029912192,130899
28.938214685,74117,3.994088319788081,84796,22.74181659937677,130899
29.929840412,74117,4.319990861376963,104283,25.23800228294201,134485
30.943328915,74117,4.718914135664361,116736,27.794587089456346,134485
31.925100481,74117,5.080017134375483,121341,30.23410823780827,134485
32.9564034,74117,5.358762768741851,123559,33.51485000167557,140379
33.948214955,82795,5.526778209845681,138186,36.82995814776976,177752
34.967963768,82795,5.638540912215223,148031,39.31242159960175,177752
35.952374034,82795,5.658986201039648,160512,42.56299103378036,177752
36.995172427,82795,5.68606174269079,167546,44.21514101281113,181937
37.959859115,82795,5.707045596758161,171212,45.17124196642224,181937
38.987870144,90051,5.829148651957857,180736,46.877753375470476,186471
39.958758848,90051,6.165969072522265,196361,49.53270401723243,186471
40.963823903,90051,6.502413205003531,201234,52.048601625180346,230488
41.963845187,90051,6.704787211997657,206293,54.849324970714925,230488
42.96515996,90051,6.849024279545066,209165,57.30471951420896,230488
43.97249668,97951,6.879049143603415,212481,59.66944612081731,256584
44.9796238,97951,6.899390651394826,218550,62.09138710490045,256584
46.000970431,97951,6.996203621768549,226218,64.67458203377686,256584
46.981052595,97951,7.316075673656694,231600,67.17038847078845,259906
47.973558496,97951,7.719417079895451,236156,69.8774614939976,259906
48.984206909,102190,8.018338695014188,243747,72.45207446891516,259906
50.002202798,102190,8.29376705933482,255460,75.25334671703578,288889
51.003121687,102190,8.378010417491431,260817,76.27460495893007,288889
51.990483713,102190,8.548979811113206,270748,80.1093218204858,288889
52.98716792,102190,8.688596496051023,280025,82.50177103296016,292085
53.985879696,105141,9.078026766415245,285754,84.78953559660796,292085
55.00409121,105141,9.466999189454508,290288,86.92825827892639,292085
56.000949111,105141,9.807811313728234,296818,89.15225938637143,335045
56.99989252,105141,10.226917061457398,302479,91.76328870957946,335045
58.011545509,105141,10.633294855744957,308864,94.398445678639,335045
59.011759145,107406,11.014545555892132,314594,96.8824580231543,335045
60.057296638,107406,11.429102618306022,319185,99.45458639854307,336415
61.013175608,107406,11.786807241706471,328628,101.82489726779923,336415
62.0265293,107406,12.191428823390869,338118,104.4640318070179,336415
63.031693689,107406,12.563506181556077,347663,106.6072527029082,336415
64.080593883,109560,12.98473307957785,357424,110.52752634435083,382511
65.049226571,109560,13.360500541678535,368935,113.42098822276334,382511
66.046437573,109560,13.752344574672955,381474,115.8979004936713,382511
67.046663582,109560,14.10626874840198,381474,118.40616793253841,382511
68.089247255,109560,14.527539324217013,398983,121.01379044094426,383607
69.102430941,111320,14.918158245419901,403000,124.31140438626953,383607
70.113546093,111320,15.290260879436424,416275,127.49428444823097,383607
71.109899935,111320,15.704172806870238,431283,129.96037390705885,383607
72.129149285,111320,16.0721107863877,439264,132.47105558138242,383607
73.191761539,111320,16.470655268268857,441885,135.0209797797904,383607
74.127738647,113055,16.86287450584092,443572,137.39140451594753,383607
75.135440574,113055,17.171587712847607,450006,139.40911456264774,383607
76.206194345,113055,17.637916198591782,469041,142.40567956128285,453329
77.301971229,113055,18.045177736643875,477634,145.84118535443878,453329
78.16899389,113055,18.40073136618043,484525,149.5831922504437,453329
79.188659672,115103,18.547072677769346,507353,152.39832201062455,453329
