Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration
200.016837222,161991,61.60677158521163,0,0,0
201.020236787,163787,61.7578362762948,0,0,0
202.019589664,163787,61.96262885982444,0,0,0
203.018994216,163787,62.360654805661454,0,0,0
204.018754321,165501,62.58928761531364,0,0,0
205.01734943,165501,62.58941565861778,0,0,0
206.020954598,165501,62.58943834921558,0,0,0
207.020731151,165501,62.589449051468094,0,0,0
208.020962746,165501,62.58946462982149,0,0,0
209.018270755,165501,62.589474860654754,0,0,0
210.019949511,165501,62.59196372367184,0,0,0
211.018475247,165501,62.5921838050913,0,0,0
212.023193256,165501,62.59228228028065,0,0,0
213.020088937,165501,62.59235845941389,0,0,0
214.01749424,165501,62.59252106731689,0,0,0
215.022887288,165501,62.59366302396429,0,0,0
216.024467458,165501,62.593685787859606,0,0,0
217.022507501,165501,62.593730402682375,0,0,0
218.02911912,165501,62.593797849904355,0,0,0
219.032884381,165501,62.59758474860865,0,0,0
220.030466675,165501,62.598197384575094,0,0,0
221.021549351,165501,62.81622410347755,0,0,0
222.018754604,167033,63.01341187287687,0,0,0
223.019424707,167033,63.015343669005645,0,0,0
224.035579693,169746,63.03859785808984,0,0,0
225.031249555,171014,63.055569791368306,0,0,0
226.022152724,171014,63.19276668312508,0,0,0
227.022284731,173109,63.562218935738805,0,0,0
228.026329652,174010,63.89630515613007,0,0,0
229.026109577,175197,64.24236073876382,0,0,0
230.023428375,176092,64.65414947561527,0,0,0
231.020900802,177021,65.01789328676603,0,0,0
232.023238813,177021,65.39687857652036,0,0,0
233.02637103,177887,65.78588263681844,0,0,0
234.022229524,178862,66.17415655574703,0,0,0
235.019846195,179797,66.57566755692746,0,0,0
236.02324843,179797,66.97707071324758,0,0,0
237.024426329,181019,67.39909928222838,0,0,0
238.020403681,182342,67.79626924876169,0,0,0
239.025440481,183804,68.21079476199756,0,0,0
240.026933447,183804,68.59785045713262,0,0,0
241.02177608,185458,68.99722414144756,0,0,0
242.020182263,187248,69.39661424389224,0,0,0
243.028924793,189405,69.814610478025,0,0,0
244.020339968,189405,70.2204524059853,0,0,0
245.022529969,191609,70.62726714372896,0,0,0
246.021843278,193626,71.021485051154,0,0,0
247.024262894,195490,71.40860042173783,0,0,0
248.02269628,195490,71.67582530001451,0,0,0
249.020665979,197258,72.05742848529276,0,0,0
250.022299277,198696,72.4492092698024,0,0,0
251.023883495,200096,72.81828298231734,0,0,0
252.021263763,201337,73.20906564184246,0,0,0
253.022918437,201337,73.61971335024361,0,0,0
254.028216522,202523,73.99064438553164,0,0,0
255.021781032,203597,74.41700788799437,0,0,0
256.022102612,204709,74.8162502663052,0,0,0
257.023300611,204709,75.21044628951431,0,0,0
258.025041322,205803,75.61505939934682,0,0,0
259.023214035,206962,76.00732355988512,0,0,0
260.028741164,208145,76.40366264020753,0,0,0
261.028939582,208145,76.81320347694884,0,0,0
262.035575371,209386,77.20076347607218,0,0,0
263.025620239,210786,77.46215786565163,0,0,0
264.058537629,210786,77.81912822661542,0,0,0
265.022089665,212505,77.8793262981609,0,0,0
266.023191682,212505,77.87938346067205,0,0,0
267.028212351,212505,77.8794309559364,0,0,0
268.025253015,212505,77.87949752963371,0,0,0
269.023218657,212505,77.87954421944339,0,0,0
270.024484907,212505,78.14881858350994,0,0,0
271.029806468,214630,78.55726374983878,0,0,0
272.023576848,216812,78.9585082702839,0,0,0
273.02788606,216812,79.27969668902595,0,0,0
274.024899503,218937,79.70447691799774,0,0,0
275.029934671,220789,80.10655233648977,0,0,0
276.038434941,222688,80.52925570308996,0,0,0
277.025838038,222688,80.92363866687272,0,0,0
278.027819133,225065,81.34012890898933,0,0,0
279.027016697,226934,81.72630732353869,0,0,0
280.030141733,228679,82.14577895135092,0,0,0
281.032045653,228679,82.53754871177148,0,0,0
282.02532492,230315,82.95941111141893,0,0,0
283.02872132,231574,83.34974342826787,0,0,0
284.030107497,232653,83.73812364701881,0,0,0
285.025761653,232653,83.96926733312536,0,0,0
286.034433841,233716,84.06084023687279,0,0,0
287.030733511,235364,84.41380005622489,0,0,0
288.025970038,236252,84.4372616454892,0,0,0
289.027684357,236252,84.43849549085337,0,0,0
290.026125956,236252,84.43851301481105,0,0,0
291.030314672,236252,84.43853329834532,0,0,0
292.032868138,236252,84.43854826758351,0,0,0
293.024892473,236252,84.43856409965116,0,0,0
294.031115796,236252,84.43858790089907,0,0,0
295.024296176,236252,84.43861082678109,0,0,0
296.026513994,236252,84.43863593183339,0,0,0
297.033505811,236252,84.43866127169103,0,0,0
298.027944651,236252,84.65596444282119,0,0,0
299.030057811,236908,85.06127249058109,0,0,0
300.026073808,236908,85.45221209263161,0,0,0
301.028443586,237452,85.84954751792267,0,0,0
302.03069996,237993,86.27840597047957,0,0,0
303.029886743,238575,86.6672132964294,0,0,0
304.028712631,238575,87.05292595089914,0,0,0
305.038015433,239161,87.47006327317224,0,0,0
306.029288035,239834,87.8350751584436,0,0,0
307.030544554,240665,88.23090999144728,0,0,0
308.028227191,240665,88.62947696273484,0,0,0
309.032090305,241642,89.0413560706965,0,0,0
310.032831172,242731,89.44086281625677,0,0,0
311.030677784,243947,89.83477751738475,0,0,0
312.030514624,243947,90.20965990005693,0,0,0
313.035534225,245172,90.5032235807864,0,0,0
314.032677904,246426,90.90069265906203,0,0,0
315.038434964,246426,91.29729621937678,0,0,0
316.033918033,247811,91.71212783524243,0,0,0
317.032394337,249242,92.10375472184548,0,0,0
318.028456433,250633,92.50717498550422,0,0,0
319.037772752,250633,92.90439332541285,0,0,0
320.036363526,252019,93.32234903973935,0,0,0
321.032921907,253502,93.72147277479831,0,0,0
322.038975613,254917,94.09717743648558,0,0,0
323.039297797,254917,94.49444110621764,0,0,0
324.033903121,256169,94.88446920892726,0,0,0
325.042739982,257561,95.26801931638293,0,0,0
326.037245869,259020,95.68786312316281,0,0,0
327.039657918,260418,96.08088438560789,0,0,0
328.038119531,260418,96.47325781711422,0,0,0
329.043214353,261778,96.70519785240629,0,0,0
330.037684863,261778,97.081446368031,0,0,0
