region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1353,0,1593,196,41544,47477,65.32383799600001,12.439383443889668
Tturn,2,0,516,193,756,0,46754,0.0,0.0
Tturn,3,513,516,753,756,0,58081,0.0,0.0
Tturn,4,2473,236,2676,476,41408,49164,37.170898437999995,7.078320454050398
Tturn,5,1353,516,1593,756,41634,58081,17.86328125,3.4016403789440735
Tturn,6,1073,1076,1313,1316,33463,58081,0.0,0.0
Tturn,7,233,1356,473,1596,39469,58081,0.0,0.0
Tturn,8,1913,1356,2153,1596,25715,58081,0.0,0.0
Tturn,9,2193,1356,2433,1596,41261,58081,15.9375,3.034920784188021
Tturn,10,1073,2196,1313,2436,27264,58081,0.0,0.0
Tturn,11,1633,2196,1873,2436,38967,58081,0.0,0.0
Tturn,12,233,2476,473,2670,41488,46995,0.0,0.0
Tturn,13,1633,2476,1873,2670,39174,46995,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,411387,702033,136.295517684,25.954265061072164
