region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1356,0,1596,219,41799,53020,35.89035952099999,6.826702536811825
Tturn,2,0,539,196,779,41702,47477,24.553710937000005,4.670359477555099
Tturn,3,516,539,756,779,41722,58081,33.153320312000005,6.306090518408923
Tturn,4,2476,259,2682,499,41621,49887,50.203125,9.54913256282232
Tturn,5,1356,539,1596,779,41452,58081,21.615234375,4.111432075659611
Tturn,6,1076,1099,1316,1339,0,58081,0.0,0.0
Tturn,7,236,1379,476,1619,0,58081,0.0,0.0
Tturn,8,1916,1379,2156,1619,41799,58081,0.0,0.0
Tturn,9,2196,1379,2436,1619,42012,58081,0.0,0.0
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,292107,498870,165.415750145,31.463717171257777
