region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1357,0,1597,216,41627,52297,47.344350457,9.299613576340628
Tturn,2,0,536,197,776,41881,47718,0.0,0.0
Tturn,3,517,536,757,776,41893,58081,0.0,0.0
Tturn,4,2477,256,2693,496,42015,52297,34.06639099099999,6.69149051785103
Tturn,5,1357,536,1597,776,41366,58081,15.29003524800001,3.0033450243270625
Tturn,6,1077,1096,1317,1336,0,58081,0.0,0.0
Tturn,7,237,1376,477,1616,0,58081,0.0,0.0
Tturn,8,1917,1376,2157,1616,42356,58081,21.814453125,4.284903742125412
Tturn,9,2197,1376,2437,1616,42410,58081,27.176757812999995,5.338194388118987
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,293548,500798,145.691987634,28.61754724876312
