region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1485,0,1725,221,41597,53502,67.33263278,12.728155113588574
Tturn,2,85,541,325,781,41771,58081,0.0,0.0
Tturn,3,645,541,885,781,41740,58081,0.0,0.0
Tturn,4,2605,261,2805,501,41410,48441,9.446289062999995,1.7856695554220567
Tturn,5,1485,541,1725,781,41452,58081,25.31738281199999,4.785845468929207
Tturn,6,1205,1101,1445,1341,41642,58081,28.372070312000005,5.363285184536006
Tturn,7,365,1381,605,1621,0,58081,0.0,0.0
Tturn,8,2045,1381,2285,1621,35032,58081,0.0,0.0
Tturn,9,2325,1381,2565,1621,37855,58081,0.0,0.0
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,322499,508510,130.468374967,24.662955322475845
