region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1359,0,1599,221,41711,53502,32.03771472,5.713054557556578
Tturn,2,0,541,199,781,0,48200,0.0,0.0
Tturn,3,519,541,759,781,0,58081,0.0,0.0
Tturn,4,2479,261,2680,501,41219,48682,0.0,0.0
Tturn,5,1359,541,1599,781,41927,58081,19.10839843699999,3.4074628522102586
Tturn,6,1079,1101,1319,1341,41825,58081,27.79101562400001,4.9557713419148435
Tturn,7,239,1381,479,1621,41712,58081,14.293945312000005,2.548936156148722
Tturn,8,1919,1381,2159,1621,3022,58081,0.0,0.0
Tturn,9,2199,1381,2439,1621,35617,58081,0.0,0.0
Tturn,10,1079,2221,1319,2461,0,58081,0.0,0.0
Tturn,11,1639,2221,1879,2461,0,58081,0.0,0.0
Tturn,12,239,2501,479,2695,41393,46995,18.162109375,3.2387179499700847
Tturn,13,1639,2501,1879,2695,0,46995,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,288426,709022,111.393183468,19.863942857800488
