region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1357,0,1597,216,41569,52297,59.284164428999986,11.390747671410594
Tturn,2,0,536,197,776,41881,47718,0.0,0.0
Tturn,3,517,536,757,776,41903,58081,0.0,0.0
Tturn,4,2477,256,2693,496,42064,52297,19.5234375,3.751196502185508
Tturn,5,1357,536,1597,776,41325,58081,12.31835937599999,2.366826364666326
Tturn,6,1077,1096,1317,1336,0,58081,0.0,0.0
Tturn,7,237,1376,477,1616,0,58081,0.0,0.0
Tturn,8,1917,1376,2157,1616,41940,58081,25.383789062000005,4.8771934113339
Tturn,9,2197,1376,2437,1616,42624,58081,19.075195312000005,3.6650720926004876
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,293306,500798,135.584945679,26.051036042196817
