region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1485,0,1725,221,41554,53502,69.258692741,13.214996291148623
Tturn,2,85,541,325,781,41771,58081,0.0,0.0
Tturn,3,645,541,885,781,41740,58081,0.0,0.0
Tturn,4,2605,261,2803,501,41546,47959,32.041015625,6.113628281036719
Tturn,5,1485,541,1725,781,41344,58081,14.293945313000009,2.727375103708159
Tturn,6,1205,1101,1445,1341,0,58081,0.0,0.0
Tturn,7,365,1381,605,1621,0,58081,0.0,0.0
Tturn,8,2045,1381,2285,1621,41508,58081,23.790039062999995,4.539289806688986
Tturn,9,2325,1381,2565,1621,41943,58081,19.357421875,3.6935184329993853
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,291406,508028,158.741114617,30.288807915581874
