region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1362,0,1602,222,41854,53743,45.00424099,7.7243367916416545
Tturn,2,0,542,202,782,41691,48923,27.508789062999995,4.721491725636598
Tturn,3,522,542,762,782,41799,58081,70.374023438,12.078698506187061
Tturn,4,2482,262,2684,502,41371,48923,0.0,0.0
Tturn,5,1362,542,1602,782,40067,58081,0.0,0.0
Tturn,6,1082,1102,1322,1342,39313,58081,0.0,0.0
Tturn,7,242,1382,482,1622,36913,58081,0.0,0.0
Tturn,8,1922,1382,2162,1622,2975,58081,0.0,0.0
Tturn,9,2202,1382,2442,1622,35598,58081,0.0,0.0
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,321581,500075,142.887053491,24.524527023465314
